sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
,html.Screen,0,2026-04-29T10:30:05.216Z,59643.7,response,images/edad_x_3.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""5"",""interest"":""4""}",59715.90000000037,59715.5,63.4,67.20000000111759,71.8,59725.9
,html.Screen,1,2026-04-29T10:30:39.826Z,34600.20000000149,response,images/chatgpt_2.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",94326.60000000149,94326.10000000149,59717.594,59716.40000000037,59725.9,94338.3
,html.Screen,2,2026-04-29T10:31:06.342Z,26504.400000001115,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",120843.10000000149,120842.70000000112,94330,94326.60000000149,94338.3,120855
,html.Screen,3,2026-04-29T10:31:33.850Z,27496.10000000149,response,images/claude_1.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",148351.40000000037,148351.1000000015,120846.7,120843.10000000149,120855,148363.3
,html.Screen,4,2026-04-29T10:32:10.937Z,37075.20000000001,response,images/https___www_plazanueva_com_articulo_navarra_estamos_entregando_movil_demasiado_pronto_nuestros_adolescentes_20260404091449280632_html.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",185438.90000000037,185438.5,148354.4,148351.6000000015,148363.3,185450.7
,html.Screen,5,2026-04-29T10:32:26.346Z,15397.000000001106,response,images/gemini_3.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",200848,200847.70000000112,185442.4,185439,185450.7,200859.1
,html.Screen,6,2026-04-29T10:32:46.753Z,20396.000000001484,response,images/riesgos_x_5.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""4""}",221255.40000000037,221255.1000000015,200842.3,200848.1000000015,200859.1,221267.2
,html.Screen,7,2026-04-29T10:33:15.967Z,29201.40000000148,response,images/https___www_elnacional_com_2026_04_ninos_y_adolescentes_digitales_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",250468.90000000037,250468.6000000015,221259,221255.5,221267.2,250479.8
,html.Screen,8,2026-04-29T10:33:37.596Z,21618.000000000757,response,images/edad_x_5.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""5""}",272098.1000000015,272097.80000000075,250470.926,250469.1000000015,250479.8,272108
,html.Screen,9,2026-04-29T10:34:01.823Z,24217.900000000373,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""5"",""interest"":""4""}",296326.2000000011,296325.9000000004,272100.492,272098.30000000075,272108,296338.1
,html.Screen,10,2026-04-29T10:34:16.510Z,14674.900000000023,response,images/claude_3.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",311013.2000000011,311013,296329.624,296326.30000000075,296338.1,311025.5
,html.Screen,11,2026-04-29T10:34:52.923Z,36400.20000000112,response,images/https___www_tn8_ni_tecnologia_todo_sobre_el_nuevo_filtro_de_instagram_que_protege_a_adolescentes_en_europa_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""4""}",347426,347425.7000000011,311017.2,311013.2000000011,311025.5,347437.3
,html.Screen,12,2026-04-29T10:35:09.944Z,17010.20000000001,response,images/chatgpt_1.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",364447.6000000015,364447.5,347429.5,347426.1000000015,347437.3,364458.8
,html.Screen,13,2026-04-29T10:35:58.802Z,48846.8000000015,response,images/https___bitlifemedia_com_2026_04_espana_aprobara_en_mayo_una_ley_que_fija_en_16_anos_el_consentimiento_digital_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",413305.80000000075,413305.6000000015,364450.46,364447.80000000075,364458.8,413317.1
,html.Screen,14,2026-04-29T10:36:20.489Z,21676.10000000114,response,images/derechos_x_4.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""2"",""interest"":""3""}",434993.4000000004,434993.2000000011,413308.658,413305.9000000004,413317.1,435004.5
,html.Screen,15,2026-04-29T10:36:48.113Z,27612.5,response,images/https___rtsmedios_com_ar_alertan_sobre_los_riesgos_del_uso_de_redes_sociales_en_ninos_y_adolescentes_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",462617.2000000011,462617,434996.028,434993.6000000015,435004.5,462629.4
,html.Screen,16,2026-04-29T10:37:13.909Z,25783.90000000072,response,images/edad_x_1.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""2"",""interest"":""3""}",488413.5,488413.30000000075,462621.1,462617.4000000004,462629.4,488429.4
,html.Screen,17,2026-04-29T10:39:29.565Z,135641.90000000072,response,images/https___noticias_udec_cl_desafio_viral_de_ingerir_imanes_gastroenterologa_udec_advierte_riesgos_y_refuerza_llamado_al_cuidado_familiar_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",624071.6000000015,624071.3000000007,488421.1,488413.7000000011,488429.4,624070.8
,html.Screen,18,2026-04-29T10:40:00.865Z,31287.600000000326,response,images/riesgos_x_2.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",655358.6000000015,655358.4000000004,624062.43,624071.8000000007,624070.8,655370.7
,html.Screen,19,2026-04-29T10:40:45.787Z,44905.40000000154,response,images/https___www_expreso_ec_internacional_grecia_prohibira_redes_sociales_menores_15_anos_medidas_alcances_2027_278073_html.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",700276.3000000007,700276.1000000015,655362.4,655358.8000000007,655370.7,700287.3
,html.Screen,20,2026-04-29T10:43:38.961Z,173164.0000000007,response,images/claude_2.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",873451.7000000011,873451.3000000007,700279.1,700276.4000000004,700287.3,873462.2
,html.Screen,21,2026-04-29T10:43:51.215Z,12242.800000000047,response,images/derechos_x_2.png,"{""credibility"":""5"",""quality"":""3"",""correctness"":""5"",""interest"":""4""}",885705.3000000007,885705,873445.4,873451.9000000004,873462.2,885707.9
,html.Screen,22,2026-04-29T10:44:07.726Z,16508.599999999977,response,images/edad_x_4.png,"{""credibility"":""1"",""quality"":""1"",""correctness"":""1"",""interest"":""3""}",902216.8000000007,902216.5,885707.86,885705.3000000007,885707.9,902228.7
