sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
,html.Screen,0,2026-04-30T11:09:53.021Z,70805.9,response,images/edad_x_3.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""5"",""interest"":""4""}",70939.69999999998,70939.29999999999,66.766,126.19999999998254,133.4,70947.2
,html.Screen,1,2026-04-30T11:10:22.757Z,29728.300000000003,response,images/chatgpt_2.png,"{""credibility"":""2"",""quality"":""1"",""correctness"":""1"",""interest"":""3""}",100676,100675.5,70930.658,70940.19999999998,70947.2,100679.468
,html.Screen,2,2026-04-30T11:11:08.206Z,45444.43199999997,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",146124.09999999998,146123.89999999997,100679.468,100676.19999999998,100679.468,146127.6
,html.Screen,3,2026-04-30T11:11:45.510Z,37300.69999999998,response,images/claude_1.png,"{""credibility"":""3"",""quality"":""1"",""correctness"":""3"",""interest"":""3""}",183428.5,183428.3,146110.988,146124.2,146127.6,183442.7
,html.Screen,4,2026-04-30T11:12:45.374Z,59849.899999999965,response,images/https___www_plazanueva_com_articulo_navarra_estamos_entregando_movil_demasiado_pronto_nuestros_adolescentes_20260404091449280632_html.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""2""}",243292.8,243292.59999999998,183426.164,183428.59999999998,183442.7,243307
,html.Screen,5,2026-04-30T11:13:27.823Z,42434.29999999999,response,images/gemini_3.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",285741.5,285741.3,243290.432,243292.89999999997,243307,285755.3
,html.Screen,6,2026-04-30T11:14:22.407Z,54570.29999999999,response,images/riesgos_x_5.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""5"",""interest"":""4""}",340325.89999999997,340325.6,285738.726,285741.6,285755.3,340336.5
,html.Screen,7,2026-04-30T11:15:04.448Z,42029.70000000001,response,images/https___www_elnacional_com_2026_04_ninos_y_adolescentes_digitales_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""1""}",382366.39999999997,382366.2,340319.888,340326,340336.5,382368.202
,html.Screen,8,2026-04-30T11:16:10.952Z,66502.598,response,images/edad_x_5.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",448870.99999999994,448870.8,382368.202,382366.5,382368.202,448882.1
,html.Screen,9,2026-04-30T11:21:18.834Z,307870.6,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""3""}",756752.8999999999,756752.7,448865.54,448871.2,448882.1,756769.8
,html.Screen,10,2026-04-30T11:22:02.547Z,43695.19999999995,response,images/claude_3.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",800465.2,800465,756753.232,756753,756769.8,800468
,html.Screen,11,2026-04-30T11:22:51.067Z,48517.5,response,images/https___www_tn8_ni_tecnologia_todo_sobre_el_nuevo_filtro_de_instagram_que_protege_a_adolescentes_en_europa_.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",848985.6000000001,848985.5,800451.482,800465.3999999999,800468,848999.4
,html.Screen,12,2026-04-30T11:23:17.876Z,26794.499999999884,response,images/chatgpt_1.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",875794.1000000001,875793.8999999999,848982.864,848985.7,848999.4,875798.4
,html.Screen,13,2026-04-30T11:24:04.708Z,46827.70000000007,response,images/https___bitlifemedia_com_2026_04_espana_aprobara_en_mayo_una_ley_que_fija_en_16_anos_el_consentimiento_digital_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""2""}",922626.2,922626.1000000001,875781.8,875794.2,875798.4,922629.8
,html.Screen,14,2026-04-30T11:24:34.260Z,29548.699999999953,response,images/derechos_x_4.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",952178.7,952178.5,922613.26,922626.3,922629.8,952195.3
,html.Screen,15,2026-04-30T11:25:11.876Z,37599.5,response,images/https___rtsmedios_com_ar_alertan_sobre_los_riesgos_del_uso_de_redes_sociales_en_ninos_y_adolescentes_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""2""}",989795,989794.8,952178.742,952178.8,952195.3,989810.5
,html.Screen,16,2026-04-30T11:25:41.852Z,29960.100000000093,response,images/edad_x_1.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1019770.8,1019770.6000000001,989793.91,989795.1000000001,989810.5,1019776
,html.Screen,17,2026-04-30T11:26:32.333Z,50475.19999999995,response,images/https___noticias_udec_cl_desafio_viral_de_ingerir_imanes_gastroenterologa_udec_advierte_riesgos_y_refuerza_llamado_al_cuidado_familiar_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""4""}",1070251.4000000001,1070251.2,1019759.378,1019770.9000000001,1019776,1070257.3
,html.Screen,18,2026-04-30T11:27:03.205Z,30866,response,images/riesgos_x_2.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1101123.4000000001,1101123.3,1070240.686,1070251.5,1070257.3,1101139.3
,html.Screen,19,2026-04-30T11:27:37.901Z,34680.5,response,images/https___www_expreso_ec_internacional_grecia_prohibira_redes_sociales_menores_15_anos_medidas_alcances_2027_278073_html.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1135820,1135819.8,1101122.79,1101123.6,1101139.3,1135821.404
,html.Screen,20,2026-04-30T11:30:03.843Z,145940.196,response,images/claude_2.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",1281761.9000000001,1281761.6,1135821.404,1135820,1135821.404,1281782.2
,html.Screen,21,2026-04-30T11:32:40.187Z,156323.40000000014,response,images/derechos_x_2.png,"{""credibility"":""5"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1438105.7,1438105.6,1281765.566,1281762,1281782.2,1438125.9
,html.Screen,22,2026-04-30T11:33:02.738Z,22530.600000000093,response,images/edad_x_4.png,"{""credibility"":""1"",""quality"":""1"",""correctness"":""3"",""interest"":""3""}",1460656.6,1460656.5,1438109.31,1438105.9000000001,1438125.9,1460658.4
,html.Screen,23,2026-04-30T11:34:21.850Z,79110.20000000019,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",1539768.8,1539768.6,1460658.4,1460656.8,1460658.4,1539771.9
,html.Screen,24,2026-04-30T11:34:37.490Z,15636.600000000093,response,images/gemini_1.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",1555408.7,1555408.5,1539771.884,1539768.9000000001,1539771.9,1555437.8
,html.Screen,25,2026-04-30T11:35:10.514Z,32995,response,images/prueba.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1588432.9000000001,1588432.8,1555421.28,1555408.9000000001,1555437.8,1588436.5
,html.Screen,26,2026-04-30T11:36:38.978Z,88460.19999999995,response,images/https___lt3_com_ar_772830_2_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1676896.9000000001,1676896.7,1588419.964,1588433,1588436.5,1676916.3
,html.Screen,27,2026-04-30T11:36:57.938Z,18940.5,response,images/derechos_x_3.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",1695856.9000000001,1695856.8,1676899.756,1676897,1676916.3,1695865.6
