sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
ID01,html.Screen,0,2026-05-29T07:59:51.041Z,28492.999999999978,response,images/edad_x_3.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",28654.400000000023,28654.099999999977,144.5,163,161.1,28660
ID01,html.Screen,1,2026-05-29T08:00:00.633Z,9586.20000000007,response,images/chatgpt_2.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",38246.59999999998,38246.20000000007,28643.432,28654.599999999977,28660,38259.6
ID01,html.Screen,2,2026-05-29T08:00:10.066Z,9418.900000000001,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""3""}",47678.80000000005,47678.5,38243.042,38246.80000000005,38259.6,47692.5
ID01,html.Screen,3,2026-05-29T08:00:18.914Z,8834.099999999977,response,images/claude_1.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",56527,56526.59999999998,47676,47679,47692.5,56542.2
ID01,html.Screen,4,2026-05-29T08:00:30.450Z,11520.300000000003,response,images/gemini_3.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",68062.80000000005,68062.5,56525.652,56527.20000000007,56542.2,68075.1
ID01,html.Screen,5,2026-05-29T08:00:39.762Z,9299.600000000064,response,images/riesgos_x_5.png,"{""credibility"":""2"",""quality"":""1"",""correctness"":""2"",""interest"":""3""}",77375.09999999998,77374.70000000007,68058.518,68063,68075.1,77391.4
ID01,html.Screen,6,2026-05-29T08:01:01.002Z,21223.50000000003,response,images/https___www_elnacional_com_2026_04_ninos_y_adolescentes_digitales_.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""3""}",98615.30000000005,98614.90000000002,77374.81,77375.20000000007,77391.4,98623.8
ID01,html.Screen,7,2026-05-29T08:01:22.331Z,21319.60000000002,response,images/edad_x_5.png,"{""credibility"":""5"",""quality"":""3"",""correctness"":""4"",""interest"":""2""}",119944.00000000012,119943.40000000002,98607.296,98615.80000000005,98623.8,119956.3
ID01,html.Screen,8,2026-05-29T08:01:38.563Z,16219.499999999927,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",136176.00000000012,136175.79999999993,119939.78,119944.29999999993,119956.3,136189
ID01,html.Screen,9,2026-05-29T08:01:54.115Z,15539.099999999977,response,images/claude_3.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""2""}",151728.59999999998,151728.09999999998,136172.464,136176.50000000012,136189,151738.4
ID01,html.Screen,10,2026-05-29T08:02:26.388Z,32262.300000000076,response,images/chatgpt_1.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",184001.09999999998,184000.70000000007,151721.842,151728.90000000002,151738.4,184003.882
ID01,html.Screen,11,2026-05-29T08:03:05.797Z,39405.618000000104,response,images/https___bitlifemedia_com_2026_04_espana_aprobara_en_mayo_una_ley_que_fija_en_16_anos_el_consentimiento_digital_.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",223409.79999999993,223409.50000000012,184003.882,184001.40000000002,184003.882,223418.9
ID01,html.Screen,12,2026-05-29T08:03:28.733Z,22927.00000000003,response,images/edad_x_1.png,"{""credibility"":""4"",""quality"":""2"",""correctness"":""4"",""interest"":""5""}",246346.20000000007,246345.90000000002,223402.308,223410.09999999998,223418.9,246351.3
ID01,html.Screen,13,2026-05-29T08:03:49.669Z,20930.99999999994,response,images/https___noticias_udec_cl_desafio_viral_de_ingerir_imanes_gastroenterologa_udec_advierte_riesgos_y_refuerza_llamado_al_cuidado_familiar_.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""2"",""interest"":""4""}",267282.5000000001,267282.29999999993,246334.726,246346.40000000002,246351.3,267283.88
ID01,html.Screen,14,2026-05-29T08:04:04.854Z,15182.520000000019,response,images/riesgos_x_2.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",282466.70000000007,282466.4,267283.88,267282.79999999993,267283.88,282483.2
ID01,html.Screen,15,2026-05-29T08:04:31.606Z,26735.70000000001,response,images/claude_2.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""4""}",309219.20000000007,309218.9,282466.612,282466.9,282483.2,309232.2
ID01,html.Screen,16,2026-05-29T08:04:57.510Z,25891.09999999992,response,images/derechos_x_2.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""5"",""interest"":""5""}",335123.70000000007,335123.29999999993,309215.538,309219.5000000001,309232.2,335131.1
ID01,html.Screen,17,2026-05-29T08:05:08.887Z,11368.300000000047,response,images/edad_x_4.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",346499.70000000007,346499.4,335114.504,335123.9,335131.1,346513.9
ID01,html.Screen,18,2026-05-29T08:05:41.991Z,33090.10000000009,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",379604.20000000007,379604.0000000001,346497.374,346499.79999999993,346513.9,379612.6
ID01,html.Screen,19,2026-05-29T08:06:04.727Z,22727.699999999953,response,images/gemini_2.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",402340.70000000007,402340.29999999993,379596.06,379604.5000000001,379612.6,402345.152
ID01,html.Screen,20,2026-05-29T08:06:25.016Z,20283.447999999975,response,images/https___kchcomunicacion_com_2026_04_09_comision_impulsa_reformas_para_proteger_a_ninas_ninos_y_adolescentes_frente_a_riesgos_de_plataformas_digitales_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",422629.0000000001,422628.6,402345.152,402340.9,402345.152,
ID02,html.Screen,0,2026-05-29T07:49:55.469Z,361057.7,response,images/edad_x_3.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""3"",""interest"":""3""}",361410.8,361409.8,351.864,348.6000000000058,352.1,361411.5
ID02,html.Screen,1,2026-05-29T07:50:27.379Z,31909.00000000006,response,images/chatgpt_2.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""2"",""interest"":""3""}",393321.10000000003,393320.50000000006,361411.062,361412.5,361411.5,393322.8
ID02,html.Screen,2,2026-05-29T07:51:14.771Z,47390,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""2""}",440713.3,440712.8,393320.744,393321.60000000003,393322.8,440721.5
ID02,html.Screen,3,2026-05-29T07:51:45.699Z,30919.29999999999,response,images/claude_1.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",471641.3,471640.8,440704.7,440713.7,440721.5,471646
ID02,html.Screen,4,2026-05-29T07:52:24.164Z,38459.20000000001,response,images/gemini_3.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",510105.60000000003,510105.2,471645.158,471641.7,471646,510113.4
ID02,html.Screen,5,2026-05-29T07:52:50.436Z,26263.599999999977,response,images/riesgos_x_5.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",536377.6000000001,536377,510096.7,510106.00000000006,510113.4,536388.4
ID02,html.Screen,6,2026-05-29T07:53:44.980Z,54532.99999999988,response,images/https___www_elnacional_com_2026_04_ninos_y_adolescentes_digitales_.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",590921.8999999999,590921.3999999999,536371.7,536377.8999999999,536388.4,590928.6
ID02,html.Screen,7,2026-05-29T07:54:37.140Z,52152.90000000002,response,images/edad_x_5.png,"{""credibility"":""4"",""quality"":""2"",""correctness"":""2"",""interest"":""2""}",643082.1000000001,643081.5,590911.9,590922.2,590928.6,643094
ID02,html.Screen,8,2026-05-29T07:55:24.844Z,47691.69999999995,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""3"",""quality"":""5"",""correctness"":""4"",""interest"":""3""}",690786.2,690785.7,643077.2,643082.6000000001,643094,690793.7
ID02,html.Screen,9,2026-05-29T07:56:01.637Z,36784,response,images/claude_3.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""2"",""interest"":""3""}",727578.5,727577.7,690776.9,690786.7,690793.7,727588.7
ID02,html.Screen,10,2026-05-29T07:56:16.492Z,14844.90000000014,response,images/chatgpt_1.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""4""}",742434,742433.6000000001,727571.9,727578.8999999999,727588.7,742440.4
ID02,html.Screen,11,2026-05-29T07:56:31.476Z,14977.400000000023,response,images/https___bitlifemedia_com_2026_04_espana_aprobara_en_mayo_una_ley_que_fija_en_16_anos_el_consentimiento_digital_.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""2"",""interest"":""3""}",757418,757417.8,742439.726,742434.2,742440.4,757426
ID02,html.Screen,12,2026-05-29T07:56:51.204Z,19719.699999999953,response,images/edad_x_1.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",777146,777145.7,757409.3,757418.6000000001,757426,777161.5
ID02,html.Screen,13,2026-05-29T07:57:20.852Z,29632.300000000047,response,images/https___noticias_udec_cl_desafio_viral_de_ingerir_imanes_gastroenterologa_udec_advierte_riesgos_y_refuerza_llamado_al_cuidado_familiar_.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",806794.1000000001,806793.8,777144.8,777146.3,777161.5,806798.2
ID02,html.Screen,14,2026-05-29T07:57:33.420Z,12563.600000000093,response,images/riesgos_x_2.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",819362.1000000001,819361.8,806797.458,806794.2,806798.2,819375.4
ID02,html.Screen,15,2026-05-29T07:57:50.540Z,17106.400000000023,response,images/claude_2.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""5"",""interest"":""4""}",836482.1000000001,836481.8,819358.7,819362.5,819375.4,836485.1
ID02,html.Screen,16,2026-05-29T07:58:04.405Z,13861.70000000007,response,images/derechos_x_2.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",850347,850346.8,836484.56,836482.3,836485.1,850350.1
ID02,html.Screen,17,2026-05-29T07:58:27.317Z,22908.400000000023,response,images/edad_x_4.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",873258.8,873258.5,850349.426,850347.2,850350.1,873280.1
ID02,html.Screen,18,2026-05-29T07:58:59.325Z,31986.099999999977,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""3"",""interest"":""3""}",905266.5999999999,905266.2,873263.3,873259.1000000001,873280.1,905275
ID02,html.Screen,19,2026-05-29T07:59:24.469Z,25135.59999999986,response,images/gemini_2.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",930410.8999999999,930410.5999999999,905258.3,905266.8999999999,905275,930412.7
